"","Province","Role","Sexe","Nombre"
"1","bandundu","administrateur","Femme",2
"2","bandundu","autre","Femme",3
"3","bandundu","infirmier","Femme",33
"4","bandundu","labo","Femme",2
"5","bandundu","medecin","Femme",0
"6","bandundu","pharmacien","Femme",2
"7","bandundu","administrateur","Homme",6
"8","bandundu","autre","Homme",9
"9","bandundu","infirmier","Homme",10
"10","bandundu","labo","Homme",2
"11","bandundu","medecin","Homme",11
"12","bandundu","pharmacien","Homme",0
"13","equateur","administrateur","Femme",2
"14","equateur","autre","Femme",0
"15","equateur","infirmier","Femme",22
"16","equateur","labo","Femme",0
"17","equateur","medecin","Femme",2
"18","equateur","administrateur","Homme",6
"19","equateur","autre","Homme",3
"20","equateur","infirmier","Homme",31
"21","equateur","labo","Homme",4
"22","equateur","medecin","Homme",9
"23","katanga","","Femme",1
"24","katanga","administrateur","Femme",2
"25","katanga","autre","Femme",2
"26","katanga","infirmier","Femme",26
"27","katanga","labo","Femme",2
"28","katanga","medecin","Femme",4
"29","katanga","pharmacien","Femme",5
"30","katanga","","Homme",2
"31","katanga","administrateur","Homme",2
"32","katanga","autre","Homme",4
"33","katanga","infirmier","Homme",22
"34","katanga","labo","Homme",5
"35","katanga","medecin","Homme",21
"36","katanga","pharmacien","Homme",1
"37","sud_kivu","administrateur","Femme",0
"38","sud_kivu","autre","Femme",2
"39","sud_kivu","infirmier","Femme",34
"40","sud_kivu","labo","Femme",0
"41","sud_kivu","medecin","Femme",4
"42","sud_kivu","pharmacien","Femme",4
"43","sud_kivu","administrateur","Homme",7
"44","sud_kivu","autre","Homme",6
"45","sud_kivu","infirmier","Homme",28
"46","sud_kivu","labo","Homme",6
"47","sud_kivu","medecin","Homme",10
"48","sud_kivu","pharmacien","Homme",2
