"","Province","Var1","Var2","Freq"
"1","bandundu","non","non",500
"2","bandundu","oui","non",0
"3","bandundu","non","oui",6
"4","bandundu","oui","oui",91
"5","equateur","non","non",233
"6","equateur","oui","non",0
"7","equateur","non","oui",0
"8","equateur","oui","oui",74
"9","katanga","non","",1
"10","katanga","oui","",0
"11","katanga","non","non",253
"12","katanga","oui","non",86
"13","katanga","non","oui",27
"14","katanga","oui","oui",60
"15","sud_kivu","non","non",412
"16","sud_kivu","oui","non",0
"17","sud_kivu","non","oui",3
"18","sud_kivu","oui","oui",25
