"","Province","Role","median","max","min"
"1","bandundu","",102.184001444565,126.009389671361,78.3586132177681
"2","bandundu","administrateur",86.6738894907909,432.95232936078,40.465872156013
"3","bandundu","autre",84.6596244131455,419.951245937162,4.11700975081256
"4","bandundu","infirmier",73.6133868124209,871.386782231853,1.08342361863489
"5","bandundu","labo",65.7919452434378,354.04875406284,5.8902188488986
"6","bandundu","medecin",459.427127019689,1136.17623690863,71.087035030697
"7","bandundu","pharmacien",38.4472419924324,108.340556157458,22.7518959913326
"8","equateur","administrateur",58.6294691224269,97.2426868905742,51.6431924882629
"9","equateur","autre",26.1357890935356,125.5290718671,3.33333333333333
"10","equateur","infirmier",80.4442036836403,1218.1744312026,2.16684723726977
"11","equateur","labo",52.5873961719032,228.114842903575,10.4730949801372
"12","equateur","medecin",720.946189960275,1341.20260021668,638.551823763091
"13","equateur","pharmacien",116.684723726977,693.694474539545,25.8215962441315
"14","katanga","administrateur",144.673167208379,263.347778981582,9.75081256771398
"15","katanga","autre",96.4247020585049,1386.78223185266,17.3347778981582
"16","katanga","infirmier",138.342361863489,2058.8837125316,3.25027085590466
"17","katanga","labo",211.059046587216,602.948149145955,21.6684723726977
"18","katanga","medecin",654.633441675695,2040.73672806067,230.01805706031
"19","katanga","pharmacien",135.590465872156,704.227518959914,19.501625135428
"20","sud_kivu","administrateur",267.930660888407,734.445648248465,20.7085590465872
"21","sud_kivu","autre",83.7089201877934,463.542795232936,5
"22","sud_kivu","infirmier",117.488262910798,1018.95991332611,2.16684723726977
"23","sud_kivu","labo",100.210364752618,257.867822318527,17.0007222824124
"24","sud_kivu","medecin",816.045503791983,1144.79595521849,179.841097869267
"25","sud_kivu","pharmacien",76.9635247381727,421,20
